Ticker,FilingDate,PayRatio,MktCap,BookToMarket,begdate,enddate,date,AbnormalReturn,lnPayRatio,lnMktCap
ABBV,2018-03-19 00:00:00,144,153975.0,0.03,2018-03-18 00:00:00,2018-03-24 00:00:00,2018-03-19 00:00:00,-0.091,4.969813299576001,11.944545530555244
ABT,2018-03-16 00:00:00,251,99507.0,0.31,2018-03-15 00:00:00,2018-03-21 00:00:00,2018-03-15 00:00:00,0.004,5.5254529391317835,11.50798327243091
ACN,2018-12-07 00:00:00,1222,108042.0,0.1,2018-12-06 00:00:00,2018-12-12 00:00:00,2018-12-06 00:00:00,-0.015,7.108244139731541,11.590275319397561
AIG,2018-03-27 00:00:00,259,53565.0,1.22,2018-03-26 00:00:00,2018-04-01 00:00:00,2018-03-26 00:00:00,0.0020000000000000018,5.556828061699537,10.888651148696658
AMGN,2018-04-11 00:00:00,127,125591.0,0.2,2018-04-10 00:00:00,2018-04-16 00:00:00,2018-04-10 00:00:00,-0.012999999999999998,4.844187086458591,11.740785874397863
AMT,2018-04-12 00:00:00,260,61180.0,0.1,2018-04-11 00:00:00,2018-04-17 00:00:00,2018-04-11 00:00:00,0.008,5.560681631015528,11.021575617704894
BA,2018-03-16 00:00:00,166,174303.0,0.0,2018-03-15 00:00:00,2018-03-21 00:00:00,2018-03-15 00:00:00,0.033,5.111987788356544,12.068550443063952
BAC,2018-03-12 00:00:00,250,303681.0,0.81,2018-03-11 00:00:00,2018-03-17 00:00:00,2018-03-12 00:00:00,-0.005999999999999999,5.521460917862246,12.623733087338215
BK,2018-03-09 00:00:00,354,54584.0,0.69,2018-03-08 00:00:00,2018-03-14 00:00:00,2018-03-08 00:00:00,-0.044,5.869296913133774,10.90749607849526
BKNG,2018-04-26 00:00:00,448,84232.0,0.13,2018-04-25 00:00:00,2018-05-01 00:00:00,2018-04-25 00:00:00,0.048,6.104793232414985,11.341330175536596
BMY,2018-05-01 00:00:00,169,100070.0,0.12,2018-04-30 00:00:00,2018-05-06 00:00:00,2018-04-30 00:00:00,-0.017,5.1298987149230735,11.513625220084501
C,2018-03-15 00:00:00,369,191227.0,0.95,2018-03-14 00:00:00,2018-03-20 00:00:00,2018-03-14 00:00:00,-0.01,5.910796644040527,12.161216483018887
CAT,2018-04-25 00:00:00,213,94174.0,0.15,2018-04-24 00:00:00,2018-04-30 00:00:00,2018-04-24 00:00:00,-0.055999999999999994,5.3612921657094255,11.452899413974531
CHTR,2018-03-15 00:00:00,148,80128.0,0.49,2018-03-14 00:00:00,2018-03-20 00:00:00,2018-03-14 00:00:00,-0.048,4.997212273764115,11.291380635019715
CL,2018-03-28 00:00:00,641,65996.0,0.0,2018-03-27 00:00:00,2018-04-02 00:00:00,2018-03-27 00:00:00,0.057,6.46302945692067,11.097349413111335
CMCSA,2018-06-11 00:00:00,458,186013.0,0.37,2018-06-10 00:00:00,2018-06-16 00:00:00,2018-06-11 00:00:00,0.05499999999999999,6.126869184114185,12.133571842726091
COP,2018-04-02 00:00:00,138,64611.0,0.47,2018-04-01 00:00:00,2018-04-07 00:00:00,2018-04-02 00:00:00,0.012000000000000004,4.927253685157205,11.076139953912703
COST,2018-12-17 00:00:00,191,102155.0,0.13,2018-12-16 00:00:00,2018-12-22 00:00:00,2018-12-17 00:00:00,0.011000000000000001,5.25227342804663,11.534246546673913
CSCO,2018-10-24 00:00:00,160,195126.0,0.22,2018-10-23 00:00:00,2018-10-29 00:00:00,2018-10-23 00:00:00,0.002,5.075173815233827,12.181400782724523
CVS,2018-04-24 00:00:00,320,73515.0,0.51,2018-04-23 00:00:00,2018-04-29 00:00:00,2018-04-23 00:00:00,0.07300000000000001,5.768320995793772,11.205244746011758
CVX,2018-04-10 00:00:00,180,238450.0,0.62,2018-04-09 00:00:00,2018-04-15 00:00:00,2018-04-09 00:00:00,0.026000000000000002,5.19295685089021,12.38191492372637
DHR,2018-03-28 00:00:00,218,64658.0,0.41,2018-03-27 00:00:00,2018-04-02 00:00:00,2018-03-27 00:00:00,0.006,5.384495062789089,11.076867119777233
DUK,2018-03-22 00:00:00,175,58877.0,0.71,2018-03-21 00:00:00,2018-03-27 00:00:00,2018-03-21 00:00:00,0.046000000000000006,5.1647859739235145,10.98320580101775
EMR,2018-12-14 00:00:00,425,48184.0,0.19,2018-12-13 00:00:00,2018-12-19 00:00:00,2018-12-13 00:00:00,-0.003,6.052089168924417,10.782782294723557
EXC,2018-03-21 00:00:00,127,37965.0,0.79,2018-03-20 00:00:00,2018-03-26 00:00:00,2018-03-20 00:00:00,0.014999999999999998,4.844187086458591,10.544419961647334
F,2018-03-29 00:00:00,285,49627.0,0.7,2018-03-28 00:00:00,2018-04-03 00:00:00,2018-03-28 00:00:00,0.029,5.652489180268651,10.81229031944438
