gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,cik,costat
1078,20161231,2016,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,1800,A
1078,20171231,2017,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,1800,A
1078,20181231,2018,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,1800,A
1078,20191231,2019,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,1800,A
1078,20201231,2020,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,1800,A
1078,20211231,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,1800,A
1300,20161231,2016,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,773840,A
1300,20171231,2017,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,773840,A
1300,20181231,2018,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,773840,A
1300,20191231,2019,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,773840,A
1300,20201231,2020,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,773840,A
1300,20211231,2021,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,12,773840,A
1447,20161231,2016,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20161231,2016,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20171231,2017,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20171231,2017,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20181231,2018,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20181231,2018,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20191231,2019,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20191231,2019,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20201231,2020,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20201231,2020,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20211231,2021,FS,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1447,20211231,2021,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,12,4962,A
1487,20161231,2016,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20161231,2016,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20171231,2017,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20171231,2017,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20181231,2018,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20181231,2018,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20191231,2019,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20191231,2019,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20201231,2020,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20201231,2020,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20211231,2021,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1487,20211231,2021,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,12,5272,A
1602,20161231,2016,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,318154,A
1602,20171231,2017,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,318154,A
1602,20181231,2018,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,318154,A
1602,20191231,2019,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,318154,A
1602,20201231,2020,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,318154,A
1602,20211231,2021,INDL,C,D,STD,AMGN,AMGEN INC,USD,12,318154,A
1690,20160930,2016,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
1690,20170930,2017,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
1690,20180930,2018,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
1690,20190930,2019,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
1690,20200930,2020,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
1690,20210930,2021,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
1690,20220930,2022,INDL,C,D,STD,AAPL,APPLE INC,USD,9,320193,A
2019,20161231,2016,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20161231,2016,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20171231,2017,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20171231,2017,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20181231,2018,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20181231,2018,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20191231,2019,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20191231,2019,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20201231,2020,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20201231,2020,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20211231,2021,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2019,20211231,2021,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,12,1390777,A
2136,20161231,2016,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,732712,A
2136,20171231,2017,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,732712,A
2136,20181231,2018,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,732712,A
2136,20191231,2019,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,732712,A
2136,20201231,2020,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,732712,A
2136,20211231,2021,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,12,732712,A
2285,20161231,2016,INDL,C,D,STD,BA,BOEING CO,USD,12,12927,A
2285,20171231,2017,INDL,C,D,STD,BA,BOEING CO,USD,12,12927,A
2285,20181231,2018,INDL,C,D,STD,BA,BOEING CO,USD,12,12927,A
2285,20191231,2019,INDL,C,D,STD,BA,BOEING CO,USD,12,12927,A
2285,20201231,2020,INDL,C,D,STD,BA,BOEING CO,USD,12,12927,A
2285,20211231,2021,INDL,C,D,STD,BA,BOEING CO,USD,12,12927,A
2403,20161231,2016,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,14272,A
2403,20171231,2017,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,14272,A
2403,20181231,2018,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,14272,A
2403,20191231,2019,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,14272,A
2403,20201231,2020,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,14272,A
2403,20211231,2021,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,12,14272,A
2817,20161231,2016,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,18230,A
2817,20171231,2017,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,18230,A
2817,20181231,2018,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,18230,A
2817,20191231,2019,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,18230,A
2817,20201231,2020,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,18230,A
2817,20211231,2021,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,12,18230,A
2968,20161231,2016,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20161231,2016,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20171231,2017,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20171231,2017,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20181231,2018,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20181231,2018,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20191231,2019,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20191231,2019,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20201231,2020,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20201231,2020,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20211231,2021,FS,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2968,20211231,2021,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,12,19617,A
2991,20161231,2016,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,93410,A
2991,20171231,2017,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,93410,A
2991,20181231,2018,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,93410,A
2991,20191231,2019,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,93410,A
2991,20201231,2020,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,93410,A
2991,20211231,2021,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,93410,A
3144,20161231,2016,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,21344,A
3144,20171231,2017,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,21344,A
3144,20181231,2018,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,21344,A
3144,20191231,2019,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,21344,A
3144,20201231,2020,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,21344,A
3144,20211231,2021,INDL,C,D,STD,KO,COCA-COLA CO,USD,12,21344,A
3170,20161231,2016,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,21665,A
3170,20171231,2017,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,21665,A
3170,20181231,2018,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,21665,A
3170,20191231,2019,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,21665,A
3170,20201231,2020,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,21665,A
3170,20211231,2021,INDL,C,D,STD,CL,COLGATE-PALMOLIVE CO,USD,12,21665,A
3226,20161231,2016,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,1166691,A
3226,20171231,2017,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,1166691,A
3226,20181231,2018,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,1166691,A
3226,20191231,2019,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,1166691,A
3226,20201231,2020,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,1166691,A
3226,20211231,2021,INDL,C,D,STD,CMCSA,COMCAST CORP,USD,12,1166691,A
3243,20161231,2016,FS,C,D,STD,C,CITIGROUP INC,USD,12,831001,A
3243,20161231,2016,INDL,C,D,STD,C,CITIGROUP INC,USD,12,831001,A
3243,20171231,2017,FS,C,D,STD,C,CITIGROUP INC,USD,12,831001,A
3243,20171231,2017,INDL,C,D,STD,C,CITIGROUP INC,USD,12,831001,A
